,CoinName,0,1,class
0,42 Coin,1.033438,-25.054024,0
1,404Coin,-2.207819,-21.31644,0
6,Dash,-17.905056,-17.36176,0
12,BitcoinDark,7.9128523,-18.681967,0
15,KoboCoin,-19.533403,-21.657892,0
18,Aurora Coin,-0.44208154,-25.819206,0
19,BlueCoin,-2.545547,-22.529959,0
25,EnergyCoin,-3.0268416,-25.292494,0
29,BitBar,0.99819434,-25.01178,0
31,CryptoBullion,0.9948466,-25.40203,0
49,HoboNickels,-3.0106807,-24.664665,0
52,IOCoin,-17.810757,-17.390995,0
57,MaxCoin,-1.3101535,-25.128756,0
62,MazaCoin,7.318805,-18.46819,0
64,NavCoin,-18.387445,-21.443768,0
68,OpalCoin,-18.38697,-21.443712,0
70,PotCoin,-2.550831,-22.894089,0
71,PhoenixCoin,-2.9864051,-25.014933,0
72,Reddcoin,0.6728488,-19.302061,0
77,SyncCoin,-18.577312,-17.664976,0
82,TorCoin,-18.277706,-17.404121,0
87,UnitaryStatus Dollar,-1.9361666,-21.033354,0
88,UltraCoin,-2.8472629,-25.320154,0
93,X11 Coin,-18.298088,-17.430021,0
96,StealthCoin,-18.38714,-21.443739,0
97,ZCC Coin,-2.4184809,-22.212236,0
103,Neutron,7.61357,-18.234406,0
108,Kore,-18.386726,-21.443623,0
112,8BIT Coin,1.0090321,-25.372072,0
113,Sativa Coin,-18.386797,-21.443628,0
120,Vtorrent,-0.21209003,-25.721575,0
126,IslaCoin,-18.642508,-17.880184,0
127,Nexus,-5.387641,-22.194084,0
131,Droidz,8.627989,-17.535387,0
138,Paycon,-18.386564,-21.4434,0
140,Emercoin,7.5576725,-18.303034,0
141,EverGreenCoin,-19.535059,-21.657864,0
147,EDRCoin,7.9015255,-18.681828,0
148,Hitcoin,-15.577703,-18.043835,0
150,DubaiCoin,7.9225187,-18.681923,0
153,BillaryCoin,-0.9146606,-25.674835,0
159,EuropeCoin,-17.177042,-18.161987,0
161,SwingCoin,7.869773,-18.679897,0
166,Ratecoin,-17.34997,-17.932268,0
167,Revenu,7.609412,-18.236813,0
168,Clockcoin,7.590031,-18.258741,0
170,BitSend,-17.510675,-17.74541,0
173,PutinCoin,-1.9384242,-21.035255,0
174,iBankCoin,-0.819365,-25.500399,0
175,Frankywillcoin,-3.0373898,-24.693125,0
180,GoldBlocks,-18.145056,-18.409956,0
181,CarterCoin,-2.710258,-25.52432,0
183,BitTokens,7.9135866,-18.681952,0
185,MustangCoin,-18.595192,-17.743849,0
